id,title
107,Chungking Express (Chung Hing sam lam) (1994)
108,Flirting With Disaster (1996)
109,"NeverEnding Story III, The (1994)"
110,Jupiter's Wife (1994)
111,Pie in the Sky (1996)
112,Jade (1995)
113,Down Periscope (1996)
114,Man of the Year (1995)
115,Up Close and Personal (1996)
116,"Birdcage, The (1996)"
117,"Brothers McMullen, The (1995)"
118,Bad Boys (1995)
119,"Amazing Panda Adventure, The (1995)"
120,"Basketball Diaries, The (1995)"
121,"Awfully Big Adventure, An (1995)"
122,Amateur (1994)
123,Apollo 13 (1995)
124,Rob Roy (1995)
125,"Addiction, The (1995)"
126,Batman Forever (1995)
127,Beauty of the Day (Belle de jour) (1967)
128,Beyond Rangoon (1995)
129,Blue in the Face (1995)
130,Canadian Bacon (1995)
131,Casper (1995)
132,Clockers (1995)
133,Congo (1995)
134,Crimson Tide (1995)
135,Crumb (1994)
136,Desperado (1995)
137,Devil in a Blue Dress (1995)
138,Die Hard: With a Vengeance (1995)
139,"Doom Generation, The (1995)"
140,First Knight (1995)
141,Free Willy 2: The Adventure Home (1995)
142,Hackers (1995)
143,Jeffrey (1995)
144,Johnny Mnemonic (1995)
145,Judge Dredd (1995)
146,Jury Duty (1995)
147,Kids (1995)
148,Living in Oblivion (1995)
149,Lord of Illusions (1995)
150,Love & Human Remains (1993)
151,Mad Love (1995)
152,Mallrats (1995)
153,Mighty Morphin Power Rangers: The Movie (1995)
154,Mute Witness (1994)
155,Nadja (1994)
156,"Net, The (1995)"
157,Nine Months (1995)
158,Party Girl (1995)
159,"Prophecy, The (1995)"
160,Reckless (1995)
161,Safe (1995)
162,"Scarlet Letter, The (1995)"
163,Showgirls (1995)
164,Smoke (1995)
165,Something to Talk About (1995)
166,Species (1995)
167,Strange Days (1995)
168,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
169,Three Wishes (1995)
170,Total Eclipse (1995)
171,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
172,Under Siege 2: Dark Territory (1995)
173,Unstrung Heroes (1995)
174,Unzipped (1995)
175,"Walk in the Clouds, A (1995)"
176,Waterworld (1995)
177,White Man's Burden (1995)
178,Wild Bill (1995)
179,"Browning Version, The (1994)"
180,Bushwhacked (1995)
181,Burnt by the Sun (Utomlyonnye solntsem) (1994)
182,Before the Rain (Pred dozhdot) (1994)
183,Before Sunrise (1995)
184,Billy Madison (1995)
185,"Babysitter, The (1995)"
186,Boys on the Side (1995)
187,"Cure, The (1995)"
188,Castle Freak (1995)
189,Circle of Friends (1995)
190,Clerks (1994)
191,Don Juan DeMarco (1995)
192,Disclosure (1994)
193,Drop Zone (1994)
194,Destiny Turns on the Radio (1995)
195,Death and the Maiden (1994)
196,Dolores Claiborne (1995)
197,Dumb & Dumber (Dumb and Dumber) (1994)
198,Eat Drink Man Woman (Yin shi nan nu) (1994)
199,Exotica (1994)
200,Exit to Eden (1994)
201,Ed Wood (1994)
202,French Kiss (1995)
203,Forget Paris (1995)
204,Far From Home: The Adventures of Yellow Dog (1995)
205,"Goofy Movie, A (1995)"
206,Hideaway (1995)
207,Fluke (1995)
208,Farinelli: il castrato (1994)
209,Gordy (1995)
210,Hoop Dreams (1994)
211,Heavenly Creatures (1994)
212,Houseguest (1994)
213,Immortal Beloved (1994)
214,Heavyweights (Heavy Weights) (1995)
215,"Hunted, The (1995)"
216,I.Q. (1994)
217,Interview with the Vampire: The Vampire Chronicles (1994)
218,Jefferson in Paris (1995)
219,"Jerky Boys, The (1995)"
220,Junior (1994)
221,Just Cause (1995)
222,"Kid in King Arthur's Court, A (1995)"
223,Kiss of Death (1995)
224,Star Wars: Episode IV - A New Hope (1977)
225,Little Women (1994)
226,"Little Princess, A (1995)"
227,Ladybird Ladybird (1994)
228,Like Water for Chocolate (Como agua para chocolate) (1992)
229,Legends of the Fall (1994)
230,Major Payne (1995)
231,My Crazy Life (Mi vida loca) (1993)
232,Love Affair (1994)
233,Losing Isaiah (1995)
234,"Madness of King George, The (1994)"
235,Mary Shelley's Frankenstein (Frankenstein) (1994)
236,Man of the House (1995)
237,Mixed Nuts (1994)
238,Milk Money (1994)
239,Miracle on 34th Street (1994)
240,Miami Rhapsody (1995)
241,My Family (1995)
242,Murder in the First (1995)
243,Nobody's Fool (1994)
244,Nell (1994)
245,New Jersey Drive (1995)
246,New York Cop (Nyû Yôku no koppu) (1993)
247,Beyond Bedlam (1993)
248,Nina Takes a Lover (1994)
249,Natural Born Killers (1994)
250,Only You (1994)
251,Once Were Warriors (1994)
252,Poison Ivy II (1996)
253,Outbreak (1995)
254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
255,"Perez Family, The (1995)"
256,"Pyromaniac's Love Story, A (1995)"
257,Pulp Fiction (1994)
258,Pushing Hands (Tui shou) (1992)
259,Priest (1994)
260,Quiz Show (1994)
261,Picture Bride (Bijo photo) (1994)
262,"Queen Margot (Reine Margot, La) (1994)"
263,"Quick and the Dead, The (1995)"
264,Roommates (1995)
265,Ready to Wear (Pret-A-Porter) (1994)
266,Three Colors: Red (Trois couleurs: Rouge) (1994)
267,Three Colors: Blue (Trois couleurs: Bleu) (1993)
268,Three Colors: White (Trzy kolory: Bialy) (1994)
269,Rent-a-Kid (1995)
270,Relative Fear (1994)
271,Stuart Saves His Family (1995)
272,"Swan Princess, The (1994)"
273,"Secret of Roan Inish, The (1994)"
274,"Specialist, The (1994)"
275,Stargate (1994)
276,"Santa Clause, The (1994)"
277,"Shawshank Redemption, The (1994)"
278,Shallow Grave (1994)
279,Suture (1993)
280,Strawberry and Chocolate (Fresa y chocolate) (1993)
281,Swimming with Sharks (1995)
282,"Sum of Us, The (1994)"
283,National Lampoon's Senior Trip (1995)
284,To Live (Huozhe) (1994)
285,Tank Girl (1995)
286,Tales from the Crypt Presents: Demon Knight (1995)
287,Star Trek: Generations (1994)
288,Tales from the Hood (1995)
289,Tom & Viv (1994)
290,Village of the Damned (1995)
291,Tommy Boy (1995)
292,Vanya on 42nd Street (1994)
293,Underneath (1995)
294,"Walking Dead, The (1995)"
295,What's Eating Gilbert Grape (1993)
296,Virtuosity (1995)
297,While You Were Sleeping (1995)
298,"War, The (1994)"
299,Double Happiness (1994)
300,Muriel's Wedding (1994)
301,"Baby-Sitters Club, The (1995)"
302,Ace Ventura: Pet Detective (1994)
303,"Adventures of Priscilla, Queen of the Desert, The (1994)"
304,Backbeat (1993)
305,Bitter Moon (1992)
306,Bullets Over Broadway (1994)
307,Clear and Present Danger (1994)
308,"Client, The (1994)"
309,"Corrina, Corrina (1994)"
310,Crooklyn (1994)
311,"Crow, The (1994)"
312,Cobb (1994)
313,"Flintstones, The (1994)"
314,Forrest Gump (1994)
315,Four Weddings and a Funeral (1994)
316,Higher Learning (1995)
317,I Like It Like That (1994)
318,I Love Trouble (1994)
319,It Could Happen to You (1994)
320,"Jungle Book, The (1994)"
321,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)"
322,"Lion King, The (1994)"
323,Little Buddha (1993)
324,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)"
325,"Mask, The (1994)"
326,Maverick (1994)
327,Mrs. Parker and the Vicious Circle (1994)
328,Naked Gun 33 1/3: The Final Insult (1994)
329,"Paper, The (1994)"
330,Reality Bites (1994)
331,Red Rock West (1992)
332,Richie Rich (1994)
333,"River Wild, The (1994)"
334,Speed (1994)
335,Speechless (1994)
336,Timecop (1994)
337,True Lies (1994)
338,When a Man Loves a Woman (1994)
339,Wolf (1994)
340,Wyatt Earp (1994)
341,Bad Company (1995)
342,"Man of No Importance, A (1994)"
343,S.F.W. (1994)
344,"Low Down Dirty Shame, A (1994)"
345,Boys Life (1995)
346,"Colonel Chabert, Le (1994)"
347,Faster Pussycat! Kill! Kill! (1965)
348,Jason's Lyric (1994)
349,Street Fighter (1994)
350,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
351,Federal Hill (1994)
352,In the Mouth of Madness (1995)
353,8 Seconds (1994)
354,Above the Rim (1994)
355,Addams Family Values (1993)
356,"Age of Innocence, The (1993)"
357,Airheads (1994)
358,"Air Up There, The (1994)"
359,Another Stakeout (1993)
360,Bad Girls (1994)
361,Barcelona (1994)
362,Being Human (1993)
363,"Beverly Hillbillies, The (1993)"
364,Beverly Hills Cop III (1994)
365,Black Beauty (1994)
366,Blink (1994)
367,Blown Away (1994)
368,Blue Chips (1994)
369,Blue Sky (1994)
370,Body Snatchers (1993)
371,Boxing Helena (1993)
372,"Bronx Tale, A (1993)"
373,Cabin Boy (1994)
374,Calendar Girl (1993)
375,Carlito's Way (1993)
376,City Slickers II: The Legend of Curly's Gold (1994)
377,Clean Slate (1994)
378,Cliffhanger (1993)
379,Coneheads (1993)
380,Color of Night (1994)
381,Cops and Robbersons (1994)
382,"Cowboy Way, The (1994)"
383,Dave (1993)
384,Dazed and Confused (1993)
385,Demolition Man (1993)
386,Even Cowgirls Get the Blues (1993)
387,Fatal Instinct (1993)
388,Farewell My Concubine (Ba wang bie ji) (1993)
389,Fearless (1993)
390,Fear of a Black Hat (1994)
391,With Honors (1994)
392,Flesh and Bone (1993)
393,Widows' Peak (1994)
394,For Love or Money (1993)
395,"Firm, The (1993)"
396,Free Willy (1993)
397,Fresh (1994)
398,"Fugitive, The (1993)"
399,Geronimo: An American Legend (1993)
400,"Getaway, The (1994)"
401,Getting Even with Dad (1994)
402,Go Fish (1994)
403,Hard Target (1993)
404,Hot Shots! Part Deux (1993)
405,Live Nude Girls (1995)
406,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
407,"House of the Spirits, The (1993)"
408,House Party 3 (1994)
409,"Hudsucker Proxy, The (1994)"
410,I'll Do Anything (1994)
411,In the Army Now (1994)
412,In the Line of Fire (1993)
413,In the Name of the Father (1993)
414,"Inkwell, The (1994)"
415,What's Love Got to Do with It? (1993)
416,Jimmy Hollywood (1994)
417,Judgment Night (1993)
418,Jurassic Park (1993)
419,Kalifornia (1993)
420,Killing Zoe (1994)
421,Lassie (1994)
422,Last Action Hero (1993)
423,Life with Mikey (1993)
424,Lightning Jack (1994)
425,M. Butterfly (1993)
426,Made in America (1993)
427,Malice (1993)
428,"Man Without a Face, The (1993)"
429,Manhattan Murder Mystery (1993)
430,Menace II Society (1993)
431,Executive Decision (1996)
432,In the Realm of the Senses (Ai no corrida) (1976)
433,What Happened Was... (1994)
434,Much Ado About Nothing (1993)
435,Mr. Wonderful (1993)
436,Mrs. Doubtfire (1993)
437,Naked (1993)
438,"Next Karate Kid, The (1994)"
439,No Escape (1994)
440,North (1994)
441,Orlando (1992)
442,"Perfect World, A (1993)"
443,Philadelphia (1993)
444,"Piano, The (1993)"
445,Poetic Justice (1993)
446,"Program, The (1993)"
447,"Puppet Masters, The (1994)"
448,Radioland Murders (1994)
449,"Ref, The (1994)"
450,"Remains of the Day, The (1993)"
451,Renaissance Man (1994)
452,Rising Sun (1993)
453,"Road to Wellville, The (1994)"
454,RoboCop 3 (1993)
455,Robin Hood: Men in Tights (1993)
456,Romeo Is Bleeding (1993)
457,Romper Stomper (1992)
458,Ruby in Paradise (1993)
459,Rudy (1993)
460,"Savage Nights (Nuits fauves, Les) (1992)"
461,Schindler's List (1993)
462,"Scout, The (1994)"
463,Searching for Bobby Fischer (1993)
464,"Secret Garden, The (1993)"
465,Serial Mom (1994)
466,"Shadow, The (1994)"
467,Shadowlands (1993)
468,Short Cuts (1993)
469,"Simple Twist of Fate, A (1994)"
470,Sirens (1994)
471,Six Degrees of Separation (1993)
472,Sleepless in Seattle (1993)
473,Sliver (1993)
474,Blade Runner (1982)
475,Son in Law (1993)
476,So I Married an Axe Murderer (1993)
477,Striking Distance (1993)
478,Super Mario Bros. (1993)
479,Surviving the Game (1994)
480,Terminal Velocity (1994)
481,Thirty-Two Short Films About Glenn Gould (1993)
482,Threesome (1994)
483,"Nightmare Before Christmas, The (1993)"
484,"Three Musketeers, The (1993)"
485,Tombstone (1993)
486,True Romance (1993)
487,"War Room, The (1993)"
488,"Pagemaster, The (1994)"
489,Welcome to the Dollhouse (1995)
490,Germinal (1993)
491,Chasers (1994)
492,Kika (1993)
493,Bhaji on the Beach (1993)
494,Little Big League (1994)
495,"Ciao, Professore! (Io speriamo che me la cavo) (1992)"
496,Spanking the Monkey (1994)
497,"Little Rascals, The (1994)"
498,Andre (1994)
499,"Escort, The (Scorta, La) (1993)"
500,Princess Caraboo (1994)
501,"Celluloid Closet, The (1995)"
502,Dear Diary (Caro Diario) (1994)
503,"Brady Bunch Movie, The (1995)"
504,Home Alone (1990)
505,Ghost (1990)
506,Aladdin (1992)
507,Terminator 2: Judgment Day (1991)
508,Dances with Wolves (1990)
509,Batman (1989)
510,"Silence of the Lambs, The (1991)"
511,Snow White and the Seven Dwarfs (1937)
512,Beauty and the Beast (1991)
513,Pinocchio (1940)
514,Pretty Woman (1990)
515,"Wild Bunch, The (1969)"
516,Love and a .45 (1994)
517,"Great Day in Harlem, A (1994)"
518,One Fine Day (1996)
519,Candyman: Farewell to the Flesh (1995)
520,Fargo (1996)
521,Homeward Bound II: Lost in San Francisco (1996)
522,Heavy Metal (1981)
523,Hellraiser: Bloodline (1996)
524,"Pallbearer, The (1996)"
525,Jane Eyre (1996)
526,Bread and Chocolate (Pane e cioccolata) (1973)
527,"Aristocats, The (1970)"
528,"Flower of My Secret, The (La flor de mi secreto) (1995)"
529,Two Much (1995)
530,Ed (1996)
531,"Thin Line Between Love and Hate, A (1996)"
532,"Last Supper, The (1995)"
533,Primal Fear (1996)
534,All Dogs Go to Heaven 2 (1996)
535,Land and Freedom (Tierra y libertad) (1995)
536,Denise Calls Up (1995)
537,Theodore Rex (1995)
538,"Family Thing, A (1996)"
539,Frisk (1995)
540,Sgt. Bilko (1996)
541,Jack and Sarah (1995)
542,Girl 6 (1996)
543,Diabolique (1996)
544,Nelly & Monsieur Arnaud (1995)
545,Courage Under Fire (1996)
546,Mission: Impossible (1996)
547,Cold Fever (Á köldum klaka) (1995)
548,Moll Flanders (1996)
549,Dragonheart (1996)
550,Eddie (1996)
551,James and the Giant Peach (1996)
552,Fear (1996)
553,Kids in the Hall: Brain Candy (1996)
554,Underground (1995)
555,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996)
556,Song of the Little Road (Pather Panchali) (1955)
557,"World of Apu, The (Apur Sansar) (1959)"
558,Mystery Science Theater 3000: The Movie (1996)
559,Space Jam (1996)
560,Barbarella (1968)
561,Some Folks Call It a Sling Blade (1993)
562,"Run of the Country, The (1995)"
563,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
564,It's My Party (1996)
565,Operation Dumbo Drop (1995)
566,Mrs. Winterbourne (1996)
567,Solo (1996)
568,"Substitute, The (1996)"
569,True Crime (1996)
570,Feeling Minnesota (1996)
571,Delta of Venus (1995)
572,Angus (1995)
573,Boys (1996)
574,"Quest, The (1996)"
575,Sunset Park (1996)
576,Mulholland Falls (1996)
577,"Truth About Cats & Dogs, The (1996)"
578,Oliver & Company (1988)
579,Celtic Pride (1996)
580,Flipper (1996)
581,Dead Man (1995)
582,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
583,"Visitors, The (Visiteurs, Les) (1993)"
584,Multiplicity (1996)
585,Wallace & Gromit: The Best of Aardman Animation (1996)
586,"Haunted World of Edward D. Wood Jr., The (1996)"
587,"Craft, The (1996)"
588,"Great White Hype, The (1996)"
589,Last Dance (1996)
590,Cold Comfort Farm (1995)
591,Heaven's Prisoners (1996)
592,"Rock, The (1996)"
593,Cemetery Man (Dellamorte Dellamore) (1994)
594,Twister (1996)
595,Barb Wire (1996)
596,Ghost in the Shell (Kôkaku kidôtai) (1995)
597,Thinner (1996)
598,Spy Hard (1996)
599,Wallace & Gromit: A Close Shave (1995)
600,"Stupids, The (1996)"
601,"Arrival, The (1996)"
602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
603,Ashes of Time (Dung che sai duk) (1994)
604,Maya Lin: A Strong Clear Vision (1994)
605,Stalingrad (1993)
606,"Phantom, The (1996)"
607,Striptease (1996)
608,Heavy (1995)
609,Jack (1996)
610,I Shot Andy Warhol (1996)
611,Touki Bouki (1973)
612,Spirits of the Dead (1968)
613,Trainspotting (1996)
614,'Til There Was You (1997)
615,Independence Day (a.k.a. ID4) (1996)
616,Stealing Beauty (1996)
617,"Fan, The (1996)"
618,"Hunchback of Notre Dame, The (1996)"
619,"Cable Guy, The (1996)"
620,Kingpin (1996)
621,Eraser (1996)
622,"Nutty Professor, The (1996)"
623,"Unforgettable Summer, An (Un été inoubliable) (1994)"
624,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)"
625,Somebody to Love (1994)
626,Daylight (1996)
627,"Frighteners, The (1996)"
628,Lone Star (1996)
629,Harriet the Spy (1996)
630,Phenomenon (1996)
631,Walking and Talking (1996)
632,She's the One (1996)
633,"Time to Kill, A (1996)"
634,American Buffalo (1996)
635,Alaska (1996)
636,Fled (1996)
637,Kazaam (1996)
638,Larger Than Life (1996)
639,"Very Brady Sequel, A (1996)"
640,"Collector, The (La collectionneuse) (1967)"
641,Kaspar Hauser (1993)
642,"Adventures of Pinocchio, The (1996)"
643,Joe's Apartment (1996)
644,"First Wives Club, The (1996)"
645,Ransom (1996)
646,High School High (1996)
647,Foxfire (1996)
648,Chain Reaction (1996)
649,Matilda (1996)
650,Emma (1996)
651,"Crow: City of Angels, The (1996)"
652,House Arrest (1996)
653,"Eyes Without a Face (Yeux sans visage, Les) (1959)"
654,Tales from the Crypt Presents: Bordello of Blood (1996)
655,"Spitfire Grill, The (1996)"
656,Escape from L.A. (1996)
657,Basquiat (1996)
658,Tin Cup (1996)
659,"Godfather, The (1972)"
660,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992)
661,Bound (1996)
662,Carpool (1996)
663,Kansas City (1996)
664,Gone Fishin' (1997)
665,Nothing to Lose (1994)
666,Supercop 2 (Project S) (Chao ji ji hua) (1993)
667,"Relic, The (1997)"
668,"Island of Dr. Moreau, The (1996)"
669,First Kid (1996)
670,"Trigger Effect, The (1996)"
671,Bogus (1996)
672,Bulletproof (1996)
673,Land Before Time III: The Time of the Great Giving (1995)
674,1-900 (06) (1994)
675,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995)
676,Twelfth Night (1996)
677,Mother Night (1996)
678,Wild Reeds (Les roseaux sauvages) (1994)
679,For Whom the Bell Tolls (1943)
680,"Philadelphia Story, The (1940)"
681,Singin' in the Rain (1952)
682,"American in Paris, An (1951)"
683,Funny Face (1957)
684,Breakfast at Tiffany's (1961)
685,Vertigo (1958)
686,Rear Window (1954)
687,It Happened One Night (1934)
688,Gaslight (1944)
689,"Gay Divorcee, The (1934)"
690,North by Northwest (1959)
691,"Apartment, The (1960)"
692,Some Like It Hot (1959)
693,Charade (1963)
694,Casablanca (1942)
695,"Maltese Falcon, The (1941)"
696,My Fair Lady (1964)
697,Sabrina (1954)
698,Roman Holiday (1953)
699,"Little Princess, The (1939)"
700,Meet Me in St. Louis (1944)
701,"Wizard of Oz, The (1939)"
702,Gone with the Wind (1939)
703,My Favorite Year (1982)
704,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
705,Citizen Kane (1941)
706,2001: A Space Odyssey (1968)
707,All About Eve (1950)
708,"Women, The (1939)"
709,Rebecca (1940)
710,Foreign Correspondent (1940)
711,Notorious (1946)
712,Spellbound (1945)
713,"Affair to Remember, An (1957)"
714,To Catch a Thief (1955)
715,Father of the Bride (1950)
716,"Band Wagon, The (1953)"
717,Ninotchka (1939)
718,Love in the Afternoon (1957)
719,Gigi (1958)
720,"Adventures of Robin Hood, The (1938)"
721,"Mark of Zorro, The (1940)"
722,Laura (1944)
723,"Ghost and Mrs. Muir, The (1947)"
724,Lost Horizon (1937)
725,Top Hat (1935)
726,To Be or Not to Be (1942)
727,My Man Godfrey (1936)
728,Giant (1956)
729,East of Eden (1955)
730,"Thin Man, The (1934)"
731,His Girl Friday (1940)
732,Around the World in 80 Days (1956)
733,It's a Wonderful Life (1946)
734,Mr. Smith Goes to Washington (1939)
735,Bringing Up Baby (1938)
736,Penny Serenade (1941)
737,Of Human Bondage (1934)
738,Little Lord Fauntleroy (1936)
739,"Inspector General, The (1949)"
740,"39 Steps, The (1935)"
741,Night of the Living Dead (1968)
742,"African Queen, The (1951)"
743,Beat the Devil (1953)
744,Cat on a Hot Tin Roof (1958)
745,Meet John Doe (1941)
746,"Farewell to Arms, A (1932)"
747,Nothing Personal (1995)
748,Dangerous Ground (1997)
749,Picnic (1955)
750,"Pompatus of Love, The (1996)"
751,Fly Away Home (1996)
752,Bliss (1997)
753,Grace of My Heart (1996)
754,Maximum Risk (1996)
755,Michael Collins (1996)
756,Infinity (1996)
757,Big Night (1996)
758,Last Man Standing (1996)
759,Set It Off (1996)
760,2 Days in the Valley (1996)
761,Extreme Measures (1996)
762,"Glimmer Man, The (1996)"
763,D3: The Mighty Ducks (1996)
764,"Chamber, The (1996)"
765,"Apple Dumpling Gang, The (1975)"
766,"Davy Crockett, King of the Wild Frontier (1955)"
767,Escape to Witch Mountain (1975)
768,"Love Bug, The (1969)"
769,Herbie Rides Again (1974)
770,Old Yeller (1957)
771,"Parent Trap, The (1961)"
772,Pollyanna (1960)
773,Homeward Bound: The Incredible Journey (1993)
774,"Shaggy Dog, The (1959)"
775,Swiss Family Robinson (1960)
776,That Darn Cat! (1965)
777,"20,000 Leagues Under the Sea (1954)"
778,Cool Runnings (1993)
779,Angels in the Outfield (1994)
780,Cinderella (1950)
781,Winnie the Pooh and the Blustery Day (1968)
782,"Three Caballeros, The (1945)"
783,"Sword in the Stone, The (1963)"
784,Robin Hood: Prince of Thieves (1991)
785,Mary Poppins (1964)
786,Dumbo (1941)
787,Pete's Dragon (1977)
788,Bedknobs and Broomsticks (1971)
789,Alice in Wonderland (1951)
790,"Fox and the Hound, The (1981)"
791,Freeway (1996)
792,"Sound of Music, The (1965)"
793,Die Hard (1988)
794,"Lawnmower Man, The (1992)"
795,"Secret Agent, The (1996)"
796,Secrets & Lies (1996)
797,That Thing You Do! (1996)
798,To Gillian on Her 37th Birthday (1996)
799,Beautiful Thing (1996)
800,"Long Kiss Goodnight, The (1996)"
801,"Ghost and the Darkness, The (1996)"
802,Looking for Richard (1996)
803,Trees Lounge (1996)
804,Normal Life (1996)
805,Get on the Bus (1996)
806,Shadow Conspiracy (1997)
807,Jude (1996)
808,Everyone Says I Love You (1996)
809,William Shakespeare's Romeo + Juliet (1996)
810,Swingers (1996)
811,Sleepers (1996)
812,Aladdin and the King of Thieves (1996)
813,Shall We Dance (1937)
814,Crossfire (1947)
815,Willy Wonka & the Chocolate Factory (1971)
816,Sleeper (1973)
817,Bananas (1971)
818,"Fish Called Wanda, A (1988)"
819,Monty Python's Life of Brian (1979)
820,Victor/Victoria (1982)
821,"Candidate, The (1972)"
822,"Great Race, The (1965)"
823,Bonnie and Clyde (1967)
824,"Old Man and the Sea, The (1958)"
825,Dial M for Murder (1954)
826,Dirty Dancing (1987)
827,Reservoir Dogs (1992)
828,Platoon (1986)
829,Weekend at Bernie's (1989)
830,Basic Instinct (1992)
831,"Doors, The (1991)"
832,"Crying Game, The (1992)"
833,Glengarry Glen Ross (1992)
834,Sophie's Choice (1982)
835,E.T. the Extra-Terrestrial (1982)
836,"Christmas Carol, A (1938)"
837,Days of Thunder (1990)
838,Top Gun (1986)
839,Rebel Without a Cause (1955)
840,"Streetcar Named Desire, A (1951)"
841,Children of the Corn IV: The Gathering (1996)
842,Loser (1991)
843,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
844,Palookaville (1996)
845,"Funeral, The (1996)"
846,"Single Girl, A (Fille seule, La) (1995)"
847,"Eighth Day, The (Huitième jour, Le) (1996)"
848,Drunks (1995)
849,"People vs. Larry Flynt, The (1996)"
850,Glory Daze (1995)
851,"Perfect Candidate, A (1996)"
852,On Golden Pond (1981)
853,"Return of the Pink Panther, The (1975)"
854,Drop Dead Fred (1991)
855,"Abyss, The (1989)"
856,"Fog, The (1980)"
857,Escape from New York (1981)
858,"Howling, The (1980)"
859,Jean de Florette (1986)
860,Manon of the Spring (Manon des sources) (1986)
861,Private Benjamin (1980)
